0 	3.0 	3.0 	0.0
1 	5.0 	2.0 	3.0
2 	3.0 	3.0 	0.0
3 	3.0 	3.0 	0.0
4 	5.0 	2.0 	3.0
5 	3.0 	3.0 	0.0
6 	5.0 	2.0 	3.0
7 	1.0 	1.0 	0.0
8 	1.0 	5.0 	-4.0
9 	4.0 	5.0 	-1.0
10 	1.0 	5.0 	-4.0
11 	3.0 	5.0 	-2.0
12 	5.0 	5.0 	0.0
13 	2.0 	3.0 	-1.0
14 	4.0 	5.0 	-1.0
15 	1.0 	2.0 	-1.0
16 	2.0 	1.0 	1.0
17 	2.0 	3.0 	-1.0
18 	5.0 	3.0 	2.0
19 	1.0 	2.0 	-1.0
20 	3.0 	2.0 	1.0
21 	4.0 	2.0 	2.0
22 	3.0 	3.0 	0.0
23 	3.0 	3.0 	0.0
24 	5.0 	2.0 	3.0
25 	4.0 	5.0 	-1.0
26 	3.0 	2.0 	1.0
27 	5.0 	3.0 	2.0
28 	5.0 	5.0 	0.0
29 	2.0 	3.0 	-1.0
30 	1.0 	3.0 	-2.0
31 	1.0 	1.0 	0.0
32 	2.0 	2.0 	0.0
33 	4.0 	3.0 	1.0
34 	2.0 	2.0 	0.0
35 	1.0 	1.0 	0.0
36 	1.0 	3.0 	-2.0
37 	1.0 	1.0 	0.0
38 	2.0 	4.0 	-2.0
39 	5.0 	3.0 	2.0
40 	4.0 	3.0 	1.0
41 	4.0 	2.0 	2.0
42 	5.0 	3.0 	2.0
43 	1.0 	3.0 	-2.0
44 	3.0 	3.0 	0.0
45 	1.0 	3.0 	-2.0
46 	5.0 	1.0 	4.0
47 	2.0 	3.0 	-1.0
48 	3.0 	1.0 	2.0
49 	2.0 	2.0 	0.0
50 	5.0 	3.0 	2.0
51 	2.0 	1.0 	1.0
52 	1.0 	5.0 	-4.0
53 	3.0 	3.0 	0.0
54 	4.0 	3.0 	1.0
55 	2.0 	3.0 	-1.0
56 	1.0 	2.0 	-1.0
57 	3.0 	2.0 	1.0
58 	1.0 	2.0 	-1.0
59 	4.0 	2.0 	2.0
60 	4.0 	2.0 	2.0
61 	1.0 	3.0 	-2.0
62 	4.0 	3.0 	1.0
63 	4.0 	5.0 	-1.0
64 	3.0 	5.0 	-2.0
65 	1.0 	1.0 	0.0
66 	5.0 	3.0 	2.0
67 	1.0 	2.0 	-1.0
68 	1.0 	2.0 	-1.0
69 	5.0 	2.0 	3.0
70 	1.0 	5.0 	-4.0
71 	5.0 	3.0 	2.0
72 	2.0 	5.0 	-3.0
73 	5.0 	3.0 	2.0
74 	5.0 	3.0 	2.0
75 	4.0 	5.0 	-1.0
76 	3.0 	1.0 	2.0
77 	2.0 	3.0 	-1.0
78 	2.0 	5.0 	-3.0
79 	5.0 	3.0 	2.0
80 	3.0 	3.0 	0.0
81 	5.0 	5.0 	0.0
82 	5.0 	3.0 	2.0
83 	2.0 	2.0 	0.0
84 	1.0 	5.0 	-4.0
85 	5.0 	3.0 	2.0
86 	4.0 	4.0 	0.0
87 	1.0 	5.0 	-4.0
88 	1.0 	3.0 	-2.0
89 	4.0 	2.0 	2.0
90 	5.0 	3.0 	2.0
91 	1.0 	2.0 	-1.0
92 	4.0 	3.0 	1.0
93 	1.0 	3.0 	-2.0
94 	5.0 	3.0 	2.0
95 	4.0 	3.0 	1.0
96 	3.0 	5.0 	-2.0
97 	4.0 	1.0 	3.0
98 	5.0 	5.0 	0.0
99 	4.0 	5.0 	-1.0
100 	1.0 	3.0 	-2.0
101 	1.0 	1.0 	0.0
102 	4.0 	3.0 	1.0
103 	2.0 	2.0 	0.0
104 	1.0 	2.0 	-1.0
105 	5.0 	3.0 	2.0
106 	4.0 	3.0 	1.0
107 	1.0 	2.0 	-1.0
108 	3.0 	3.0 	0.0
109 	5.0 	3.0 	2.0
110 	1.0 	3.0 	-2.0
111 	5.0 	3.0 	2.0
112 	1.0 	5.0 	-4.0
113 	5.0 	3.0 	2.0
114 	3.0 	3.0 	0.0
115 	4.0 	3.0 	1.0
116 	1.0 	3.0 	-2.0
117 	1.0 	3.0 	-2.0
118 	5.0 	3.0 	2.0
119 	1.0 	3.0 	-2.0
120 	2.0 	1.0 	1.0
121 	4.0 	2.0 	2.0
122 	3.0 	3.0 	0.0
123 	2.0 	3.0 	-1.0
124 	4.0 	3.0 	1.0
125 	1.0 	1.0 	0.0
